PIGMENT - C.I. NAME	PIGMENT - CHEMICAL NAME	PAINT - MARKETING NAME	MANUFACTURER	CODE	Tr	St	VR	Gr	Bl	 Df	HA	HS	Lf	
PB15:6	epsilon copper phthalocyanine (1935)	helio blue RS	Schmincke	478	3	3	63	0	2	0	270	-29	7	8
PB15:6	epsilon copper phthalocyanine (1935)	phthalo blue (red shade)	Daniel Smith	119	4	3	66	0	2	0	275	-26	8	8
PB15+PBk6 - +PV19	phthalocyanine blue + lamp burned petroleum or wax + quinacridone violet	payne's gray [hue]	Winsor & Newton	465	1	4	70	0	2	1	275	-45	8	8
PB15+PBk7	phthalocyanine blue + lamp black	indigo	Rowney Artists	127	2	4	70	1	3	4	274	-30	7	7
PB16	metal free phthalocyanine (1936)	turquoise green	MaimeriBlu	350	4	3	61	0	3	3	222	-7	7	8
PB16	metal free phthalocyanine (1936)	marine blue	Holbein	302	3	4	66	0	2	2	224	-10	7	7
PB16	metal free phthalocyanine (1936)	turquoise green	Utrecht	9	3	4	60	0	3	0	224	-7	6	8
PB16	metal free phthalocyanine (1936)	caribbean blue	Old Holland	232	3	4	68	1	3	0	227	-11	6	8
PB16	metal free phthalocyanine (1936)	phthalo turquoise	Winsor & Newton	526	4	4	71	1	2	2	251	-32	.	.
PB17	trisulphonated copper phthalocyanine (1935)	peacock blue - [discontinued in 2005]	Holbein	101	3	3	51	0	2	0	238	-16	7	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	antwerp blue	Winsor & Newton	3	4	3	49	0	2	1	248	-13	5	6
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Utrecht	158	3	4	65	1	3	3	263	-24	4	6
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	paris blue	Lukas	1133	2	4	69	1	3	4	264	-25	7	7
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	MaimeriBlu	402	2	4	69	1	3	4	264	-25	6	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	M. Graham	153	4	3	68	2	2	3	266	-19	8	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Winsor & Newton	36	4	4	69	0	2	0	266	-25	7	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Rembrandt	508	3	4	68	0	2	3	268	-22	6	7
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	DaVinci	271	3	4	72	2	2	3	270	-20	8	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Schmincke	492	2	4	70	0	2	1	270	-27	7	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Holbein	97	2	3	70	0	2	2	272	-31	7	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Daniel Smith	36	2	3	72	2	1	2	274	-31	8	8
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	prussian blue	Rowney Artists	135	2	4	78	0	1	4	282	-31	6	7
PB27	hydrous ferric ferrocyanide; ferriammonium ferrocyanide (1704; c.1730)	antwerp blue	Art Spectrum	W43	3	3	47	0	1	0	3	-13	4	7
PB27+PBk7	prussian blue + lamp black	indigo	MaimeriBlu	422	3	3	69	1	3	4	209	-41	7	7
PB27+PY35	hydrous ferriammonium ferrocyanide + cadmium zinc sulfide	prussian green	Daniel Smith	128	3	4	62	0	3	2	198	-5	6	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	Winsor & Newton	70	4	1	44	3	3	2	265	-11	8	8
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	Rowney Artists	109	2	4	53	1	2	1	269	-15	8	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	Holbein	290	2	1	54	2	3	2	272	-15	8	8
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	Utrecht	155	3	1	48	1	1	3	272	-11	8	8
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	Daniel Smith	25	3	2	51	1	3	2	274	-13	8	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue light	DaVinci	234	1	2	51	1	2	1	274	-15	8	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue light	Schmincke	487	2	2	52	2	2	2	275	-18	8	8
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	M. Graham	90	1	2	55	1	2	2	275	-12	8	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue	Rembrandt	511	3	4	57	1	3	1	275	-10	8	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue light	MaimeriBlu	373	2	2	52	1	3	1	275	-14	8	7
PB28	cobalt aluminium oxide - (1802; c.1820)	cobalt blue deep	MaimeriBlu	374	1	3	57	1	2	2	279	-22	8	8
PB28+PB15	cobalt aluminium oxide + copper phthalocyanine	cyanine blue	Blockx	354	2	2	50	1	2	2	268	-18	8	8
PB28+PV19	cobalt blue + quinacridone rose	cobalt violet	MaimeriBlu	449	2	2	65	1	2	3	308	-2	6	7
PB28+PV19	cobalt blue + quinacridone rose	cobalt blue violet	Daniel Smith	17	2	3	67	0	3	1	333	1	6	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine GS	Winsor & Newton	220	3	3	52	2	2	2	279	-15	8	7
PB29	sodium aluminum sulfosilicate (1828)	permanent blue	Rowney Artists	137	3	1	58	3	3	1	282	-17	8	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine blue	Utrecht	151	4	3	58	2	2	0	282	-27	8	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine finest	Schmincke	494	2	2	63	1	1	1	285	-18	8	7
PB29	sodium aluminum sulfosilicate (1828)	french ultramarine blue	Winsor & Newton	68	3	1	64	3	3	1	288	-18	8	8
PB29	sodium aluminum sulfosilicate (1828)	french ultramarine	Daniel Smith	68	4	3	64	2	3	3	289	-14	8	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine light	MaimeriBlu	391	3	2	63	2	2	2	289	-20	8	7
PB29	sodium aluminum sulfosilicate (1828)	french ultramarine blue	Rembrandt	503	3	2	64	1	2	1	290	-10	8	8
PB29	sodium aluminum sulfosilicate (1828)	ultramarine blue	Daniel Smith	4	4	3	66	1	3	2	291	-18	8	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine deep	Rembrandt	506	3	2	67	1	3	1	292	-17	8	8
PB29	sodium aluminum sulfosilicate (1828)	ultramarine deep	Holbein	94	4	1	64	4	2	1	292	-18	8	8
PB29	sodium aluminum sulfosilicate (1828)	ultramarine deep	Blockx	253	3	2	67	3	4	0	292	-19	8	8
PB29	sodium aluminum sulfosilicate (1828)	ultramarine deep	Sennelier	315	1	3	66	1	3	1	292	-18	8	7
PB29	sodium aluminum sulfosilicate (1828)	french ultramarine blue	Utrecht	159	3	2	67	2	2	2	293	-17	8	8
PB29	sodium aluminum sulfosilicate (1828)	ultramarine blue	M. Graham	190	1	3	69	1	3	2	294	-15	8	7
PB29	sodium aluminum sulfosilicate (1828)	french ultramarine blue	Rowney Artists	123	3	1	69	3	3	1	294	-20	8	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine blue	DaVinci	284	3	2	67	1	1	2	294	-25	8	7
PB29	sodium aluminum sulfosilicate (1828)	ultramarine deep	MaimeriBlu	392	1	3	71	3	2	1	296	-21	8	7
PB29+PV19	sodium polysulfide aluminosilicate + quinacridone rose	permanent violet red	DaVinci	172	4	2	66	0	3	2	307	5	6	7
PB29+PV19	sodium polysulfide aluminosilicate + quinacridone rose	permanent violet blue	DaVinci	172	4	2	66	0	3	2	307	5	6	6
PB29+PV19	sodium polysulfide aluminosilicate + quinacridone rose	rose of ultramarine	Daniel Smith	17	2	3	67	0	3	1	333	1	6	7
PB33	barium manganate sulfate (1869; 1935)	manganese blue	Old Holland	41	2	2	41	5	0	0	232	-9	8	6
PB33	barium manganate sulfate (1869; 1935)	manganese blue - [discontinued in 2006]	Blockx	250	1	1	42	4	0	1	234	-8	8	8
PB33	barium manganate sulfate (1869; 1935)	manganese blue	Lukas	1119	2	2	35	2	0	0	234	-9	8	8
PB33	barium manganate sulfate (1869; 1935)	manganese blue - [discontinued in 2001]	Holbein	100	2	1	43	4	0	1	237	-11	8	8
PB35	cobalt tin oxide - (1780; 1860)	cerulean blue	Winsor & Newton	65	2	2	44	2	1	1	235	-22	8	7
PB35	cobalt tin oxide - (1780; 1860)	cerulean blue	Rembrandt	12	1	2	48	1	3	1	247	-10	8	8
PB35	cobalt tin oxide - (1780; 1860)	coeruleum	Rowney Artists	111	2	3	40	2	1	2	248	-13	8	7
PB35	cobalt tin oxide - (1780; 1860)	cerulean blue	Utrecht	12	3	1	51	1	3	0	251	-11	8	8
PB35	cobalt tin oxide - (1780; 1860)	cerulean blue RS	Winsor & Newton	140	2	1	48	3	3	2	252	-15	.	.
PB35	cobalt tin oxide - (1780; 1860)	cerulean blue	Holbein	92	1	0	46	3	3	1	253	-15	8	7
PB36	cobalt chromium oxide - (1780; c.1870)	cobalt turquoise	Daniel Smith	27	3	3	48	1	4	2	196	-3	7	8
PB36	cobalt chromium oxide - (1780; c.1870)	cobalt green deep	Rowney Artists	325	1	3	51	1	3	1	201	-9	8	7
PB36	cobalt magnesium oxide	cobalt turquoise	DaVinci	238	2	2	38	1	2	2	203	-2	8	8
PB36	cobalt chromium oxide - (1780; c.1870)	cobalt turquoise	Winsor & Newton	78	3	3	46	1	1	1	204	-4	8	8
PB36	cobalt chromium oxide - (1780; c.1870)	cerulean blue GS	Daniel Smith	65	3	3	50	1	3	4	220	-6	8	8
PB36	cobalt chromium oxide - (1780; c.1870)	cobalt turquoise GS	Rowney Artists	156	1	3	57	1	2	2	236	-11	8	7
PB36	cobalt chromium oxide - (1780; c.1870)	cerulean blue	Daniel Smith	3	3	3	51	1	3	4	242	-6	8	8
PB36	cobalt chromium oxide - (1780; c.1870)	cerulean blue chromium	Utrecht	157	3	1	41	2	1	1	245	-11	8	7
PB36	cobalt chromium oxide - (1780; c.1870)	cobalt turquoise RS	Rowney Artists	155	1	4	62	1	2	1	248	-14	8	8
PB36	cobalt chromium oxide - (1780; c.1870)	cerulean blue	MaimeriBlu	368	1	2	54	2	1	2	251	-7	8	7
PB36	cobalt chromium oxide - (1780; c.1870)	genuine cerulean blue	DaVinci	229	0	2	48	2	2	1	252	-4	8	8
PB36	cobalt chromium oxide - (1780; c.1870)	cerulean blue	M. Graham	80	1	2	46	2	3	1	253	-7	8	7
PB60	indanthrone [aminoanthraquinone + potassium	dark blue indigo	Schmincke	498	3	2	67	1	1	1	277	-14	6	7
PB60	indanthrone [aminoanthraquinone + potassium	indanthrene blue	Winsor & Newton	223	3	4	75	1	2	1	286	-20	8	8
PB60	indanthrone [aminoanthraquinone + potassium	indanthrene blue	Rowney Artists	107	3	4	74	1	2	1	286	-23	6	7
PB60	indanthrone [aminoanthraquinone + potassium	old delft blue	Old Holland	220	1	3	72	0	3	0	287	-20	8	8
PB60	indanthrone [aminoanthraquinone + potassium	faience blue	MaimeriBlu	377	2	4	70	1	2	4	288	-30	7	8
PB60	indanthrone [aminoanthraquinone + potassium	indanthrene blue	Rembrandt	585	2	4	69	1	2	4	291	-20	8	8
PB60	indanthrone [aminoanthraquinone + potassium	delft blue	Schmincke	482	2	4	73	0	3	4	295	-33	6	7
PB60	indanthrone [aminoanthraquinone + potassium	royal blue	Holbein	303	2	3	76	1	3	2	298	-28	7	8
PB60+PBk6	indanthrone blue + lamp black	indigo	Daniel Smith	25	1	4	75	0	2	0	288	-25	8	8
PB72	cobalt zinc aluminate (1991)	cobalt blue deep	Rowney Artists	116	1	4	54	2	4	1	276	-9	8	7
PB74	cobalt zinc silicate	cobalt blue deep	Old Holland	38	2	2	64	2	2	2	284	-15	8	8
PB74	cobalt zinc silicate	cobalt blue deep	Schmincke	488	2	0	61	3	3	1	286	-13	8	8
PBk10	powdered graphite	graphite gray	Daniel Smith	10	0	4	55	1	2	0	0	0	8	8
PBk11	ferrosoferric oxide(c.1980)	lunar black	Daniel Smith	21	2	3	72	3	4	2	0	0	8	8
PBk11	ferrosoferric oxide(c.1980)	mars black	Winsor & Newton	386	1	4	75	1	2	2	0	0	8	8
PBk19+PW4 - +PBk6	black chalk + zinc oxide + carbon black	davy's gray [hue]	Winsor & Newton	19	1	3	39	0	3	1	110	-10	5	5
PBk6	soot from lamp burned petroleum  gas or wax (antiquity)	lamp black	Daniel Smith	28	0	4	73	1	4	1	0	0	8	8
PBk6	soot from lamp burned petroleum  gas or wax (antiquity)	blue black - [discontinued in 2005]	Winsor & Newton	34	1	4	72	0	2	0	0	0	8	8
PBk6+PB15 - +PV19	carbon black + phthalocyanine blue + beta quinacridone	neutral tint	Winsor & Newton	32	0	4	74	0	3	4	0	0	8	8
PBk6+PB29	soot from lamp burned petroleum or wax + ultramarine blue	payne's gray [hue]	M. Graham	128	2	3	75	0	3	2	265	-5	8	8
PBk7	carbon black mixed with lamp black (antiquity)	carbon black	MaimeriBlu	537	1	4	73	1	3	4	0	0	8	8
PBk7	carbon black mixed with lamp black (antiquity)	lamp black	Daniel Smith	3	3	2	74	0	3	4	0	0	8	8
PBk7	carbon black mixed with lamp black (antiquity)	lamp black	Rowney Artists	35	3	2	73	0	3	4	0	0	8	8
PBk7	carbon black mixed with lamp black (antiquity)	charcoal gray	Schmincke	786	3	2	67	0	3	4	0	0	8	8
PBk7+PB29	lamp black + sodium aluminum sulfosilicate	payne's gray [hue]	Rowney Artists	65	3	2	74	0	3	4	270	 &#151;	8	8
PBk8	wood charcoal (antiquity)	vine black	Old Holland	367	3	2	62	2	4	2	65	10	8	8
PBk9	soot from burned animal bone (antiquity)	ivory black	Rowney Artists	34	2	3	70	2	2	2	60	5	8	8
PBk9	soot from burned animal bone (antiquity)	ivory black	M. Graham	110	3	4	72	1	1	1	65	10	8	8
PBk9	soot from burned animal bone (antiquity)	ivory black	Winsor & Newton	26	3	4	64	1	1	1	70	5	8	8
PBk9	soot from burned animal bone (antiquity)	ivory black	Daniel Smith	48	2	3	71	2	2	2	70	5	8	8
PBk9	soot from burned animal bone (antiquity)	ivory black	MaimeriBlu	535	3	3	69	1	2	4	0	0	8	8
PBr11	magnesium ferrite (1962)	lunar earth	Daniel Smith	19	1	1	48	2	1	2	49	4	8	8
PBr24	chrome titanium oxide (1946)	titanate gold ochre	Schmincke	659	1	2	23	0	1	0	67	8	8	8
PBr24	chrome titanium oxide (1946)	naples yellow deep	Winsor & Newton	203	1	3	23	0	2	1	68	7	8	8
PBr24+PW6		naples yellow [hue]	Winsor & Newton	422	2	1	15	1	2	2	73	9	.	.
PBr25	benzimidazolone brown (1960)	permanent brown	Daniel Smith	32	4	4	58	1	2	2	39	0	8	8
PBr33	zinc iron chromite (1974)	walnut brown	Schmincke	41	0	3	64	2	4	1	40	15	8	8
PBr41	disazo condensation brown (1951)	translucent brown	Schmincke	648	3	4	60	1	2	1	38	6	7	8
PBr6	calcinated synthetic iron oxide (19th century)	van dyke brown - [discontinued in 2000]	M. Graham	194	0	4	74	2	2	1	43	22	6	8
PBr6+PBk7	calcinated synthetic iron oxide + soot from lamp burned petroleum or wax	sepia	Daniel Smith	45	0	4	71	2	3	1	48	16	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna deep	Blockx	143	1	3	64	1	2	1	37	12	8	8
PBr7	calcinated natural iron oxide (antiquity)	italian burnt sienna	Daniel Smith	106	2	2	51	0	1	0	39	9	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	Utrecht	184	2	2	57	0	3	1	39	10	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna light	Blockx	141	2	3	61	1	2	0	39	11	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	M. Graham	20	1	2	57	1	2	3	40	8	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	Daniel Smith	8	1	3	56	1	3	1	40	10	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	MaimeriBlu	278	2	3	53	1	3	1	41	16	8	8
PBr7	calcinated natural iron oxide (antiquity)	pompeii red	Daniel Smith	116	3	2	50	1	1	0	42	13	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt umber	Utrecht	188	3	3	66	1	3	1	42	15	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	DaVinci	205	2	3	55	2	2	2	43	12	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	Holbein	334	3	2	50	1	4	2	46	8	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt umber	MaimeriBlu	492	2	4	65	0	1	0	46	19	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt umber	Rembrandt	409	2	4	58	0	1	0	46	10	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt sienna	Rembrandt	411	2	3	50	1	3	1	47	11	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt umber	DaVinci	206	2	2	62	2	3	4	48	13	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt umber	M. Graham	30	4	3	54	1	3	1	49	7	8	8
PBr7	calcinated natural iron oxide (antiquity)	burnt umber	Rowney Artists	223	2	4	58	0	1	0	53	9	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw sienna	Daniel Smith	40	1	1	37	0	4	2	57	10	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw umber	Utrecht	187	3	2	62	1	1	1	57	14	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw sienna	Utrecht	183	2	2	41	0	1	0	58	8	8	8
PBr7	calcinated natural iron oxide (antiquity)	brown ochre	Winsor & Newton	59	3	2	34	0	2	2	58	10	.	.
PBr7	calcinated natural iron oxide (antiquity)	raw sienna	MaimeriBlu	161	3	3	40	1	2	3	59	17	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw umber	MaimeriBlu	493	4	1	54	0	1	2	60	13	8	6
PBr7	calcinated natural iron oxide (antiquity)	raw sienna	M. Graham	160	2	2	46	2	1	2	61	12	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw umber	DaVinci	274	2	4	67	1	2	1	61	6	8	8
PBr7	calcinated natural iron oxide (antiquity)	italian earth	Old Holland	322	3	0	43	1	2	2	62	11	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw sienna	DaVinci	273	1	2	33	1	1	2	64	7	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw umber	Winsor & Newton	554	3	2	47	3	1	2	64	14	.	.
PBr7	calcinated natural iron oxide (antiquity)	raw umber	M. Graham	170	3	3	62	0	2	1	64	9	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw umber	Rowney Artists	247	3	2	57	1	1	1	64	11	8	8
PBr7	calcinated natural iron oxide (antiquity)	raw umber	Rembrandt	408	3	2	46	1	1	1	65	6	8	8
PBr7	calcinated natural iron oxide (antiquity)	german greenish raw umber	Daniel Smith	121	3	2	56	0	2	1	73	9	8	8
PBr7+PBk11 - +PR101	natural iron manganese oxide + ferrite black iron oxide + red iron oxide	warm sepia	Rowney Artists	486	2	3	69	1	3	1	51	9	7	7
PBr7+PBk7	calcinated natural iron oxide + soot from lamp burned petroleum	sepia	M. Graham	178	2	4	71	1	1	0	46	18	8	8
PBr7+PBk7	calcinated natural iron oxide + soot from furnace burned petroleum	warm sepia	Sennelier	440	2	4	62	0	3	0	55	9	8	8
PBr7+PBk9	natural iron manganese oxide + soot from burned animal bone	sepia	MaimeriBlu	486	2	3	61	1	3	1	70	7	8	8
PBr7+PR209	natural iron manganese oxide + quinacridone red	dragon's blood	MaimeriBlu	270	3	4	48	1	4	3	36	5	7	8
PBr7+PV19	natural iron manganese oxide + beta quinacridone	raw umber violet	Daniel Smith	90	2	4	65	0	3	2	23	11	7	7
PBr7+PY42	natural iron manganese oxide + synthetic yellow iron oxide	raw umber - [discontinued in 2005]	Winsor & Newton	41	4	2	36	1	3	1	69	7	7	8
PG10	azomethine nickel complex (1946)	green gold - [discontinued in 2000]	Daniel Smith	37	3	4	33	2	4	3	94	3	7	7
PG10	azomethine nickel complex (1946)	australian green gold - [discontinued in 2005]	Art Spectrum	W39	2	4	27	0	1	0	97	1	7	7
PG17	anhydrous chromium sesquioxide - (1809; c.1840)	chromium oxide green	Rembrandt	668	0	3	51	0	1	2	137	-12	8	8
PG17	anhydrous chromium sesquioxide - (1809; c.1840)	olive green	MaimeriBlu	331	0	3	52	0	1	2	138	-16	8	8
PG17	anhydrous chromium sesquioxide - (1809; c.1840)	oxide of chromium green	Rowney Artists	367	0	3	52	0	1	2	139	-10	8	8
PG17	anhydrous chromium sesquioxide - (1809; c.1840)	oxide of chromium	Winsor & Newton	72	0	4	53	1	3	1	140	-13	8	8
PG17+PG23		terre verte	Holbein	65	0	2	54	1	2	2	138	-17	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	Rembrandt	616	4	1	40	3	2	2	174	-2	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	Utrecht	164	4	1	43	2	3	0	174	-1	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	MaimeriBlu	348	3	1	36	1	3	2	174	-4	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	M. Graham	195	4	2	39	3	1	1	175	-2	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	Rowney Artists	381	4	1	50	3	2	2	175	-2	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	Lukas	1154	4	1	38	2	3	2	175	-8	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	emerald green	Blockx	261	4	1	38	2	3	2	175	-8	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	Daniel Smith	77	4	2	38	3	3	2	176	-4	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian	Winsor & Newton	77	3	3	44	2	3	2	176	-4	8	8
PG18	hydrous chromium sesquioxide - (1838; 1862)	viridian green	DaVinci	290	3	1	53	0	1	2	176	0	8	8
PG18+PG7		viridian	Holbein	260	4	1	33	3	2	2	174	-1	8	8
PG18+PY37	hydrous chromium sesquioxide + cadmium sulfide	cobalt green	Holbein	268	1	1	36	2	3	1	185	-3	8	8
PG19	cobalt zinc oxide (1780 c.1835)	cobalt green	Rowney Artists	324	3	1	33	4	0	0	188	-4	8	8
PG19	cobalt zinc oxide (1781	cobalt green pale	Daniel Smith	49	3	1	34	4	0	0	188	-23	8	8
PG19	cobalt zinc oxide (1782	cobalt green	Rembrandt	610	3	1	42	4	0	0	188	-11	8	8
PG23	celadonite [green shade] (antiquity)	terre verte	Blockx	161	3	2	30	1	2	1	105	-10	7	8
PG23	celadonite [green shade] (antiquity)	bohemian green earth	Daniel Smith	104	4	0	31	1	2	1	110	-6	8	8
PG23	celadonite [green shade] (antiquity)	green earth	Rembrandt	629	2	0	36	2	1	2	128	-5	8	8
PG23+PG17	celadonite + hydrated chromium oxide	terre verte	MaimeriBlu	296	2	0	31	2	1	2	121	-7	8	8
PG23+PG18 - +PB28	glauconite [blue shade] + hydrated chromium oxide + cobalt blue	terre verte	Winsor & Newton	48	2	4	42	3	0	1	155	-16	8	8
PG26	cobalt chrome oxide - (1780; c.1835)	cobalt green dark	Schmincke	533	1	4	50	2	1	2	168	-9	8	8
PG26	cobalt chrome oxide - (1780; c.1835)	cobalt green deep	Old Holland	267	1	1	57	1	3	0	188	-6	8	8
PG36	chlorobrominated copper phthalocyanine (1938)	bright green	Rembrandt	615	4	3	44	1	3	4	159	0	7	8
PG36	chlorobrominated copper phthalocyanine (1938)	cupric green light	MaimeriBlu	322	4	3	49	1	3	4	160	-3	7	8
PG36	chlorobrominated copper phthalocyanine (1938)	bamboo green	Holbein	278	3	4	41	0	2	3	160	0	7	8
PG36	chlorobrominated copper phthalocyanine (1938)	phthalo green YS	Daniel Smith	54	4	4	48	1	1	2	161	-2	7	8
PG36	chlorobrominated copper phthalocyanine (1938)	winsor green YS	Winsor & Newton	210	3	4	44	0	3	2	163	-6	7	7
PG36+PO49		sap green	MaimeriBlu	358	3	3	50	2	3	4	118	-7	7	7
PG36+PO49		permanent sap green - [discontinued in 2005]	Winsor & Newton	204	3	4	53	0	2	1	130	-6	7	7
PG36+PO49	chlorobrominated copper phthalocyanine + quinacridone gold	hooker's green - [discontinued in 2005]	Winsor & Newton	202	3	4	45	0	2	2	140	-4	7	7
PG36+PO49 - +PY3	chlorobrominated copper phthalocyanine + quinacridone gold + arylide yellow 10G	hooker's green	Daniel Smith	110	3	3	53	0	3	2	147	-12	7	7
PG36+PY110		permanent sap green	Winsor & Newton	503	3	4	56	1	2	3	126	-9	.	.
PG36+PY110		hooker's green	Winsor & Newton	311	3	4	49	1	22	3	137	-8	.	.
PG36+PY17 - +PG8	chlorobrominated copper phthalocyanine + diarylide yellow + nitroso iron complex	sap green	Holbein	275	3	2	54	1	3	1	117	-8	4	6
PG36+PY175	chlorobrominated copper phthalocyanine + benzimidazolone lemon	permanent green light	MaimeriBlu	339	3	1	26	1	3	4	137	-7	5	6
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green light	MaimeriBlu	316	1	1	33	1	1	2	150	-9	8	8
PG50	cobalt titanium nickel zinc oxide (1992)	cobalt green YS	Holbein	276	1	3	42	1	2	2	151	-3	8	8
